frequency,magnitude_db,phase_deg
28840.31503,-32.2833558,-91.12621852
29512.09227,-32.49770054,-93.55389129
30199.5172,-32.7291449,-96.06345685
30902.95433,-32.97955048,-98.65869119
31622.7766,-33.25105451,-101.3435609
32359.36569,-33.54612362,-104.1222208
33113.11215,-33.86762116,-106.9990072
33884.41561,-34.21889258,-109.9784251
34673.68505,-34.60387511,-113.0651282
35481.33892,-35.02724102,-116.2638892
36307.80548,-35.49445643,-119.4774442
37153.52291,-36.01255913,-122.9125201
38018.93963,-36.58974623,-126.4741534
38904.5145,-37.23639288,-130.1670362
39810.71706,-37.96567815,-133.9956149
40738.02778,-38.79473131,-137.9639595
41686.93835,-39.74645722,-142.0756091
42657.95188,-40.85259694,-146.3333963
43651.58322,-42.15919652,-150.7392542
44668.35922,-43.73706186,-155.2102628
45708.81896,-45.70517596,-159.9114912
46773.51413,-48.28734561,-164.7591136
47863.00923,-51.99624331,-169.7494831
48977.88194,-58.56010827,-174.8771739
50118.72336,-77.44703832,-0.135019196
51286.1384,-56.97167891,-5.51379819
52480.74602,-51.51960146,-11.00304765
53703.17964,-48.32967518,-17.38186074
54954.08739,-46.12956211,-23.0732826
56234.13252,-44.5002344,-28.83683997
57543.99373,-43.25114511,-34.65878912
58884.36554,-42.27958738,-40.52577105
60255.95861,-41.52392865,-46.42528526
61659.50019,-40.94435645,-52.34610552
63095.73445,-40.51388821,-58.08847826
64565.4229,-40.21323597,-64.02045458
66069.3448,-40.02880605,-69.95040266
67608.29754,-39.95078424,-75.87448206
69183.09709,-39.97235151,-81.79077985
70794.57844,-40.08918087,-87.69918377
72443.59601,-40.29921667,-93.43141326
74131.02413,-40.60251698,-99.32602731
75857.7575,-41.00153929,-105.2212075
77624.71166,-41.50136695,-111.1219946
79432.82347,-42.11033291,-117.0340769
81283.05162,-42.84098348,-122.8110348
83176.37711,-43.71188831,-128.7599433
85113.80382,-44.75026354,-134.7366972
87096.359,-45.99720979,-140.7436789
89125.09381,-47.51741404,-146.6408914
91201.08394,-49.42044877,-152.6816995
93325.43008,-51.91191933,-158.6779253
95499.2586,-55.45334296,-164.4411197
97723.7221,-61.50992974,-168.9770042
100000,-37.9513452,-317.8058729
102329.2992,-61.7115766,-370.4990616
104712.8548,-55.85998334,-375.5022223
107151.9305,-52.53349892,-382.8660658
109647.8196,-50.27243257,-390.0046284
112201.8454,-48.62174576,-397.5405077
114815.3621,-47.38389245,-405.4438877
117489.7555,-46.46009112,-413.5486885
120226.4435,-45.79919521,-422.2517924
123026.8771,-45.37935851,-431.4295949
125892.5412,-45.20043724,-440.9809626
128824.9552,-45.28325981,-451.318914
131825.6739,-45.67500949,-462.3677624
134896.2883,-46.4618883,-474.0609865
138038.4265,-47.79901119,-486.7912184
141253.7545,-49.98857813,-500.4490672
144543.9771,-53.75262511,-514.8625398
147910.8388,-61.99064737,-530.2047946
151356.1248,-65.91376495,-365.9572069
154881.6619,-55.24919876,-382.0800091
158489.3192,-51.19761147,-398.1108744
162181.0097,-49.0974947,-413.6556968
165958.6907,-48.05290525,-428.8230349
169824.3652,-47.72765621,-444.2675312
173780.0829,-47.97337558,-458.3870545
177827.941,-48.7420693,-471.9054583
181970.0859,-50.06872575,-485.249137
186208.7137,-52.10221521,-498.3420066
190546.0718,-55.23666035,-511.0507836
194984.46,-60.72954698,-523.4027545
199526.2315,-80.86318191,-519.5074024
204173.7945,-62.69846421,-374.4345667
208929.6131,-56.50006914,-387.2323692
213796.209,-53.29942491,-401.4827168
218776.1624,-51.42196774,-416.9066129
223872.1139,-50.44086848,-434.3681999
229086.7653,-50.28661846,-452.541194
234422.8815,-51.14157979,-472.4670563
239883.2919,-53.61157595,-494.8291022
245470.8916,-59.86141353,-519.320533
251188.6432,-71.45375087,-365.4456424
257039.5783,-56.76828972,-392.0142718
263026.7992,-52.94081359,-417.3915976
269153.4804,-51.77470874,-441.0931713
275422.8703,-52.14251637,-463.308147
281838.2931,-53.82344237,-485.1114142
288403.1503,-57.21423022,-505.0351781
295120.9227,-64.56451209,-523.8709274
301995.172,-72.44435604,-370.7211516
309029.5433,-59.80946491,-387.7918897
316227.766,-55.55229807,-409.1903784
323593.6569,-53.68412052,-432.7283164
331131.1215,-53.59979042,-459.1749441
338844.1561,-56.00377245,-490.5435413
346736.8505,-65.59219675,-525.2056818
354813.3892,-62.56382856,-382.3142509
363078.0548,-55.72085014,-417.8747667
371535.2291,-54.48227832,-450.0406675
380189.3963,-55.91311176,-479.1480015
389045.145,-60.25959167,-506.2185021
398107.1706,-75.29704146,-529.9519731
407380.2778,-63.87161693,-383.3693749
416869.3835,-57.69403749,-411.4580669
426579.5188,-55.74790198,-443.203468
436515.8322,-57.1683505,-480.2248126
446683.5922,-67.655789,-524.9176733
457088.1896,-61.71623121,-392.6228476
467735.1413,-56.73264833,-436.3178978
478630.0923,-57.51579819,-474.3769828
489778.8194,-62.80936579,-508.4958782
501187.2336,-81.2926041,-370.8943105
512861.384,-61.4217053,-399.4770832
524807.4602,-57.71385873,-437.2190115
537031.7964,-59.16395817,-482.5967791
549540.8739,-86.50167434,-537.668694
562341.3252,-59.82584718,-415.2438311
575439.9373,-58.54474924,-464.0388519
588843.6554,-63.71659967,-506.0190369
602559.5861,-76.30006823,-371.0315043
616595.0019,-61.20226756,-410.122472
630957.3445,-59.18411787,-459.3491884
645654.229,-68.60117537,-520.1053464
660693.448,-62.06163899,-407.6442964
676082.9754,-60.0341245,-466.3280369
691830.9709,-67.63018161,-514.9740522
707945.7844,-68.0590626,-384.6416124
724435.9601,-60.56099701,-435.5151536
741310.2413,-64.43364098,-501.0403983
758577.575,-64.72487214,-398.8403488
776247.1166,-61.25917283,-466.1643651
794328.2347,-71.88487455,-522.0200618
812830.5162,-65.44003761,-399.0602913
831763.7711,-61.6674966,-461.7628903
851138.0382,-82.42996427,-365.7150637
870963.59,-61.88595995,-448.2135266
891250.9381,-69.26684657,-512.7147614
912010.8394,-66.94299565,-396.8855047
933254.3008,-62.89326492,-467.7128516
954992.586,-70.8668305,-382.4983342
977237.221,-63.42719455,-470.0211138
1000000,-50.37259071,-645.9339182
